rank,feature,p_donor,q_hat_recipient_center,q_hat_recipient/p_donor
247,sgRNA1360,0.0007435906745859,0.0003814064765733,0.5129253090562256
248,sgRNA0506,0.0005162508506696,0.0002652553592126,0.5138109871752311
249,sgRNA1030,0.0004362609126249,0.0002245518087826,0.5147190644046332
250,sgRNA0135,0.0007583256631731,0.0003907929840318,0.515336619885163
251,sgRNA0470,0.0008246331118154,0.0004305635919073,0.5221274597613839
252,sgRNA1270,0.0007193831933356,0.0003800656078236,0.5283215000635904
253,sgRNA0664,0.0007525369176567,0.00039946135097,0.5308196071149168
254,sgRNA0183,0.0005462470774363,0.0002910396673794,0.5327985803518358
255,sgRNA0792,0.0007651669078743,0.0004128830759626,0.5395987093974371
256,sgRNA0623,0.0006346570089594,0.0003438648814991,0.5418121546674631
257,sgRNA1357,0.0007635881590971,0.0004143851508584,0.5426814781260976
258,sgRNA0206,0.0007625356599123,0.000422208559631,0.5536902492921559
259,sgRNA0532,0.0011072291429336,0.0006201917932239,0.5601295785809104
260,sgRNA1271,0.0005499308245831,0.0003100198238019,0.5637433108735532
261,sgRNA0787,0.0005183558490392,0.0002943686393306,0.5678891052859302
262,sgRNA0633,0.001318781479078,0.0007598671103018,0.5761887942444006
263,sgRNA0772,0.000730434434776,0.0004252053247169,0.5821266146184584
264,sgRNA0289,0.0011666953468747,0.0006849527476534,0.5870879227282648
265,sgRNA0799,0.0012514215312509,0.0007540910556865,0.6025875669029949
